acc_rating;amen;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price
10;[1, 2, 3, 4, 8, 30, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47, 49, 50];Real Bed;4;10;10;10;100;6092049;False;True;10;37.75607601777165;-122.43801135995676;p3;2;41;Entire home/apt;720;10;126;248.0
10;[1, 3, 4, 8, 21, 30, 31, 33, 34, 35, 36, 37, 38, 40, 41, 43, 44, 45, 46, 47];Airbed;5;10;10;10;100;14861363;False;True;9;37.7789219043482;-122.41216559854456;p3;3;5;Entire home/apt;126;10;10;253.0
10;[2, 3, 27, 35, 39];Real Bed;3;10;10;10;100;11534020;False;False;10;37.76178733788571;-122.39014919505286;p3;1;1;Entire home/apt;0;10;1;290.0
10;[3, 4, 8, 27, 28, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47];Real Bed;5;10;10;10;96;10126716;False;False;10;37.775075933621004;-122.44397582316178;p3;6;14;Entire home/apt;97;9;21;500.0
;[1, 2, 3, 4, 5, 8, 14, 15, 21, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 50];Real Bed;3;;;;;16620739;False;False;;37.79067614270082;-122.39688445413915;p3;6;27;Entire home/apt;35;;0;318.0
;[1, 2, 3, 4, 8, 30, 31, 33, 34, 35, 36, 39, 40, 41, 44, 45, 47, 57];Real Bed;4;;;;;16707105;False;False;;37.77560913254086;-122.43116995629805;p3;8;14;Entire home/apt;6;;0;500.0
10;[1, 2, 3, 4, 8, 9, 28, 30, 33, 34, 35, 36, 39, 40, 47];Real Bed;4;10;10;10;100;6591918;False;False;10;37.772949496736786;-122.44696913608124;p3;4;19;Entire home/apt;23;10;2;389.0
10;[1, 4, 5, 8, 15, 21, 27, 30, 31, 33, 34, 35, 36, 40, 41, 42, 44, 45, 46];Real Bed;3;10;10;10;100;13879420;True;False;10;37.78786861519367;-122.40293854092558;p3;4;9;Entire home/apt;6;10;1;450.0
10;[3, 4, 6, 7, 8, 15, 21, 25, 30, 33, 34, 35, 36, 40, 44];Real Bed;5;9;9;10;92;1515494;False;False;10;37.784848816171625;-122.40004347551594;p3;4;13;Entire home/apt;324;9;52;350.0
10;[1, 3, 4, 8, 30, 35, 36, 39, 40, 41];Real Bed;5;10;10;10;95;7807841;True;False;9;37.77470342764225;-122.44298782636714;p3;2;22;Entire home/apt;29;10;6;400.0
10;[1, 2, 3, 4, 5, 8, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47];Real Bed;4;10;10;10;98;10752160;False;True;10;37.79572893801928;-122.43572280110386;p3;4;33;Entire home/apt;68;10;10;395.0
9;[1, 2, 3, 4, 5, 6, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 56, 57];Real Bed;5;9;9;9;97;16350039;True;False;10;37.77823933140659;-122.41510259503677;p3;8;23;Entire home/apt;219;9;7;349.0
