room_id;acc_rating;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price;star_rating;amen_1;amen_2;amen_3;amen_4;amen_5;amen_6;amen_7;amen_8;amen_9;amen_10;amen_11;amen_12;amen_13;amen_14;amen_15;amen_16;amen_17;amen_18;amen_19;amen_20;amen_21;amen_22;amen_23;amen_24;amen_25;amen_26;amen_27;amen_28;amen_29;amen_30;amen_31;amen_32;amen_33;amen_34;amen_35;amen_36;amen_37;amen_38;amen_39;amen_40;amen_41;amen_42;amen_43;amen_44;amen_45;amen_46;amen_47;amen_48;amen_49;amen_50
14770931;;Real Bed;3;;;;;14770931;True;False;;37.82219383700124;-122.27163396798528;p3;1;37;Private room;16;;0;35.0;0;True;False;False;True;True;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;True;True;True;True;True;True;False;False;False;False;False;False;False;True;True
12813448;9;Real Bed;3;9;9;10;92;12813448;True;False;9;37.73404563875773;-122.18411249286368;p3;2;10;Private room;194;9;57;38.0;4.5;True;True;True;True;True;False;False;True;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True
16846956;;Real Bed;3;;;;;16846956;True;False;;37.846191419127365;-122.28653462883133;p3;3;14;Private room;2;;0;40.0;0;True;False;False;True;True;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;False;True;True;False;False;False;False;False;False;True;False;False;True
15110752;10;Real Bed;3;10;10;10;100;15110752;False;True;9;37.831371678614964;-122.27053629161144;p3;1;8;Private room;8;10;7;40.0;5;True;False;False;True;False;False;False;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;False;True;True;True;False;False;True;True;True;True;False;True;True
11419858;10;Real Bed;4;10;9;10;95;11419858;False;False;9;37.844661601900526;-122.2817080455281;p3;2;5;Private room;97;10;39;40.0;5;False;False;True;True;False;False;False;True;True;False;False;True;False;False;False;False;True;True;True;True;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;False;False;False;False;False;True;True;False;True;True;True;False;False;False
155999;10;Real Bed;5;10;10;10;94;155999;False;False;8;37.79579802889408;-122.23707611989333;p3;1;6;Private room;52;9;7;35.0;4.5;False;True;False;True;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;True;True;False;False;True;False;False;False;False;False;False;False;False
9729022;8;Real Bed;5;9;8;9;83;9729022;False;False;8;37.783125541451184;-122.1932833013039;p3;1;5;Private room;271;9;23;29.0;4;True;False;True;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;True
9806664;;Real Bed;3;;;;;9806664;False;False;;37.783446031293856;-122.22604739661409;p3;1;13;Private room;34;;0;22.0;0;False;False;True;True;False;False;False;True;True;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;True;True;False;False;False;True;True;True;True;False;False;False
6292247;10;Real Bed;3;10;9;10;100;6292247;True;False;10;37.78924982981072;-122.24989645595531;p3;2;3;Private room;14;10;3;40.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;True;True;False;True;True;True;False;True;False;False;False;False;False;False;False
8941359;10;Real Bed;4;10;10;10;93;8941359;False;False;9;37.73888445858011;-122.16599149356327;p3;1;13;Private room;168;9;21;38.0;4.5;False;False;False;True;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;True;True;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False
